T, time, time_on_pso, time_on_solver, status
2.286,0.091,0.069,0.022,0
2.829,0.122,0.069,0.053,0
2.874,0.129,0.069,0.060,-5
2.207,0.105,0.069,0.036,0
2.719,0.129,0.069,0.060,-5
2.520,0.102,0.069,0.033,0
2.598,0.102,0.069,0.033,0
7.067,0.188,0.069,0.119,-5
2.451,0.101,0.069,0.032,0
2.038,0.105,0.069,0.036,0
2.081,0.105,0.069,0.036,0
2.560,0.135,0.096,0.039,0
2.102,0.263,0.071,0.192,0
7.130,0.120,0.069,0.051,-5
2.801,0.133,0.071,0.062,0
1.714,0.106,0.070,0.036,0
1.816,0.153,0.070,0.083,-5
2.228,0.110,0.071,0.039,0
2.683,0.099,0.072,0.027,0
2.946,0.877,0.071,0.806,-5
2.679,0.106,0.072,0.034,0
2.484,0.117,0.070,0.047,0
2.861,0.143,0.072,0.071,-5
2.024,0.104,0.070,0.034,0
2.254,0.101,0.071,0.030,0
2.567,0.118,0.070,0.048,0
2.789,0.118,0.071,0.047,0
2.432,0.113,0.071,0.042,0
1.716,0.146,0.071,0.075,-5
2.908,0.117,0.071,0.046,0
2.641,0.107,0.071,0.036,0
1.825,0.100,0.071,0.029,0
2.406,0.106,0.071,0.035,0
2.400,0.095,0.071,0.024,0
2.045,0.102,0.070,0.032,0
2.917,0.559,0.070,0.489,-5
2.297,0.099,0.070,0.029,0
2.547,0.102,0.071,0.031,0
2.797,0.112,0.071,0.041,0
2.428,0.095,0.071,0.024,0
2.838,0.103,0.070,0.033,0
2.553,0.100,0.070,0.030,0
2.182,0.138,0.070,0.068,-5
2.250,0.106,0.071,0.035,0
2.899,0.105,0.071,0.034,0
2.971,0.110,0.070,0.040,0
2.852,0.148,0.072,0.076,-5
2.753,0.105,0.071,0.034,0
2.925,0.102,0.071,0.031,0
2.279,0.104,0.070,0.034,0
2.307,0.128,0.070,0.058,-5
2.686,0.223,0.071,0.152,0
2.664,0.102,0.071,0.031,0
2.662,0.100,0.071,0.029,0
2.499,0.112,0.071,0.041,0
1.775,0.106,0.071,0.035,0
2.498,0.235,0.070,0.165,0
2.862,0.105,0.071,0.034,0
4.828,0.667,0.071,0.596,-5
2.005,0.108,0.071,0.037,0
2.363,0.109,0.070,0.039,0
1.607,0.239,0.071,0.168,0
1.804,0.137,0.071,0.066,-5
2.125,0.106,0.071,0.035,0
2.918,0.102,0.071,0.031,0
2.371,0.102,0.070,0.032,0
2.348,0.105,0.071,0.034,0
2.401,0.104,0.070,0.034,0
2.761,0.119,0.071,0.048,0
2.511,0.104,0.071,0.033,0
2.518,0.104,0.070,0.034,0
2.198,0.095,0.070,0.025,0
2.374,0.110,0.070,0.040,0
2.132,0.090,0.070,0.020,0
2.664,0.108,0.070,0.038,0
2.843,0.093,0.070,0.023,0
2.729,0.099,0.070,0.029,0
2.747,0.107,0.071,0.036,0
2.185,0.118,0.069,0.049,0
2.538,0.108,0.071,0.037,0
2.076,0.110,0.071,0.039,0
2.292,0.103,0.070,0.033,0
2.750,0.306,0.071,0.235,0
2.621,0.108,0.071,0.037,0
2.291,0.103,0.071,0.032,0
2.783,0.124,0.070,0.054,0
2.842,0.109,0.071,0.038,0
2.677,0.110,0.071,0.039,0
2.641,0.269,0.070,0.199,-5
1.758,0.104,0.071,0.033,0
2.483,0.130,0.097,0.033,0
2.763,0.236,0.071,0.165,-5
2.630,0.112,0.071,0.041,0
2.824,0.186,0.071,0.115,-5
2.737,0.126,0.071,0.055,0
2.440,0.100,0.071,0.029,0
2.676,0.164,0.071,0.093,-5
1.500,0.128,0.071,0.057,-5
2.290,0.098,0.071,0.027,0
2.750,0.097,0.070,0.027,0
2.107,0.097,0.070,0.027,0
2.095,0.102,0.070,0.032,0
2.762,0.104,0.071,0.033,0
2.257,0.091,0.070,0.021,0
2.874,0.142,0.070,0.072,-5
1.566,0.102,0.071,0.031,0
4.979,0.717,0.073,0.644,-5
2.263,0.100,0.071,0.029,0
1.300,0.098,0.070,0.028,0
2.001,0.104,0.070,0.034,0
2.941,0.156,0.071,0.085,-5
2.794,0.111,0.071,0.040,0
2.290,0.102,0.071,0.031,0
2.133,0.102,0.070,0.032,0
3.142,0.101,0.071,0.030,0
2.562,0.111,0.070,0.041,0
2.718,0.104,0.071,0.033,0
2.549,0.101,0.071,0.030,0
2.568,0.097,0.070,0.027,0
2.306,0.105,0.070,0.035,0
5.560,0.244,0.071,0.173,-5
2.868,0.103,0.070,0.033,0
0.887,0.125,0.070,0.055,0
2.865,0.134,0.070,0.064,-5
2.317,0.097,0.070,0.027,0
2.850,0.697,0.070,0.627,-5
2.767,0.110,0.071,0.039,0
2.634,0.105,0.071,0.034,0
2.609,0.240,0.071,0.169,0
2.042,0.103,0.071,0.032,0
2.606,0.199,0.071,0.128,-5
2.913,0.132,0.070,0.062,-5
3.048,0.145,0.071,0.074,0
2.389,0.099,0.070,0.029,0
2.361,0.143,0.070,0.073,0
2.859,0.707,0.069,0.638,-5
2.726,0.111,0.069,0.042,0
2.480,0.109,0.069,0.040,0
2.835,0.135,0.078,0.057,0
1.479,0.126,0.088,0.038,0
2.624,0.104,0.071,0.033,0
2.219,0.095,0.071,0.024,0
2.743,0.115,0.070,0.045,0
2.478,0.111,0.071,0.040,0
2.569,0.132,0.071,0.061,-5
2.671,0.134,0.071,0.063,-5
2.292,0.107,0.071,0.036,0
2.236,0.317,0.071,0.246,-5
1.862,0.104,0.071,0.033,0
2.836,0.110,0.071,0.039,0
2.711,0.104,0.070,0.034,0
1.908,0.103,0.070,0.033,0
2.164,0.561,0.071,0.490,-5
2.587,0.099,0.070,0.029,0
2.279,0.099,0.071,0.028,0
2.188,0.215,0.073,0.142,0
2.534,0.110,0.071,0.039,0
2.066,0.095,0.071,0.024,0
2.502,0.106,0.070,0.036,0
2.432,0.135,0.070,0.065,-5
2.508,0.149,0.071,0.078,-5
1.697,0.241,0.070,0.171,-5
7.073,0.102,0.071,0.031,-5
2.358,0.097,0.071,0.026,0
2.557,0.454,0.071,0.383,-5
2.791,0.099,0.071,0.028,0
1.982,0.092,0.071,0.021,0
1.899,0.106,0.070,0.036,0
4.888,0.645,0.071,0.574,-5
2.911,0.119,0.071,0.048,0
2.579,0.321,0.071,0.250,-5
2.214,0.243,0.071,0.172,0
2.146,0.098,0.071,0.027,0
2.348,0.097,0.071,0.026,0
1.993,0.106,0.070,0.036,0
2.318,0.194,0.070,0.124,0
2.529,0.098,0.071,0.027,0
7.001,0.108,0.070,0.038,-5
1.765,0.106,0.070,0.036,0
2.294,0.103,0.070,0.033,0
2.807,0.114,0.070,0.044,0
2.335,0.136,0.070,0.066,-5
2.308,0.115,0.071,0.044,0
2.987,0.200,0.071,0.129,-5
1.136,0.112,0.071,0.041,0
