T, time, time_on_pso, time_on_solver, status
6.248,1.085,0.080,1.005,-5
3.349,0.167,0.081,0.086,-5
2.722,0.179,0.078,0.101,0
3.488,0.146,0.081,0.065,-5
4.597,1.042,0.081,0.961,-5
1.152,0.157,0.078,0.079,0
3.335,1.129,0.076,1.053,-5
7.010,1.127,0.074,1.053,-5
3.778,0.268,0.072,0.196,0
2.677,0.215,0.071,0.144,0
3.383,0.543,0.072,0.471,-5
3.339,1.564,0.078,1.486,-5
2.673,0.963,0.072,0.891,-5
3.549,0.987,0.081,0.906,-5
2.185,0.187,0.072,0.115,-5
3.850,0.130,0.071,0.059,-5
3.538,1.096,0.072,1.024,-5
3.776,0.757,0.070,0.687,-5
3.731,0.862,0.071,0.791,-5
4.349,1.154,0.071,1.083,-5
3.164,1.114,0.073,1.041,-5
7.469,1.261,0.073,1.188,-5
3.774,0.349,0.075,0.274,-5
2.720,0.174,0.079,0.095,0
4.093,0.273,0.072,0.201,-5
3.565,1.403,0.071,1.332,-5
2.582,0.171,0.074,0.097,-5
2.747,0.157,0.076,0.081,0
3.534,0.127,0.073,0.054,0
7.215,0.154,0.071,0.083,-5
3.830,0.886,0.073,0.813,-5
3.192,0.137,0.071,0.066,0
3.112,0.151,0.088,0.063,-5
2.626,0.113,0.071,0.042,0
3.234,1.037,0.071,0.966,-5
3.450,0.829,0.071,0.758,-5
4.366,1.112,0.070,1.042,-5
5.419,0.937,0.070,0.867,-5
4.136,0.919,0.076,0.843,-5
7.263,1.202,0.073,1.129,-5
3.485,0.257,0.075,0.182,0
2.565,0.113,0.071,0.042,0
3.946,0.827,0.071,0.756,-5
3.868,0.329,0.070,0.259,0
3.147,0.136,0.087,0.049,0
3.461,0.290,0.070,0.220,0
3.797,0.842,0.072,0.770,-5
3.880,1.179,0.071,1.108,-5
2.970,0.336,0.071,0.265,0
4.039,0.357,0.073,0.284,0
3.714,0.926,0.071,0.855,-5
3.734,0.777,0.071,0.706,-5
3.594,0.126,0.071,0.055,0
2.525,0.208,0.070,0.138,0
4.015,0.121,0.071,0.050,0
3.011,0.936,0.071,0.865,-5
3.807,1.492,0.074,1.418,-5
3.230,0.182,0.078,0.104,-5
2.690,0.842,0.073,0.769,0
3.507,0.127,0.075,0.052,0
3.151,1.088,0.073,1.015,-5
5.320,0.128,0.071,0.057,-5
7.437,0.213,0.069,0.144,-5
3.776,0.969,0.071,0.898,-5
3.711,0.176,0.077,0.099,0
2.724,0.155,0.078,0.077,0
3.760,0.130,0.070,0.060,0
3.007,1.007,0.071,0.936,-5
7.206,0.154,0.070,0.084,-5
1.154,0.131,0.073,0.058,0
6.408,0.946,0.072,0.874,-5
2.655,0.176,0.074,0.102,0
3.377,1.275,0.088,1.187,-5
3.101,0.114,0.072,0.042,0
3.391,0.106,0.070,0.036,0
3.073,0.879,0.071,0.808,-5
