T, time, time_on_pso, time_on_solver, status
4.048,1.184,0.079,1.105,-5
4.030,1.301,0.084,1.217,-5
3.485,0.188,0.081,0.107,0
2.565,0.118,0.079,0.039,0
3.976,1.011,0.079,0.932,-5
3.868,0.896,0.081,0.815,-5
3.147,1.092,0.079,1.013,-5
3.462,1.213,0.087,1.126,-5
3.797,0.988,0.081,0.907,-5
3.936,1.233,0.085,1.148,-5
2.970,0.143,0.079,0.064,0
4.038,1.522,0.080,1.442,-5
3.692,1.077,0.084,0.993,-5
3.733,0.251,0.079,0.172,-5
3.594,0.113,0.079,0.034,0
2.525,0.225,0.079,0.146,-5
4.014,1.037,0.079,0.958,-5
3.011,1.086,0.087,0.999,-5
3.757,0.748,0.077,0.671,-5
3.230,0.864,0.080,0.784,-5
2.690,0.170,0.083,0.087,0
3.507,0.856,0.083,0.773,-5
3.151,1.026,0.079,0.947,-5
3.521,0.979,0.080,0.899,-5
3.982,1.029,0.079,0.950,-5
3.812,1.210,0.083,1.127,-5
3.711,0.143,0.079,0.064,0
2.742,0.160,0.080,0.080,0
3.760,0.104,0.078,0.026,0
3.007,1.039,0.079,0.960,-5
3.087,1.005,0.082,0.923,-5
1.154,0.116,0.078,0.038,0
3.209,0.311,0.078,0.233,0
2.655,0.289,0.079,0.210,0
3.346,1.140,0.078,1.062,-5
3.101,0.153,0.080,0.073,0
3.456,1.202,0.084,1.118,-5
3.073,1.260,0.082,1.178,-5
